player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,1,0,0,8,3,0,0,0
A Taylor,1,1,0,42,31,1,0,0
Allan L,1,2,0,0,2,1,0,0
Batson,4,0,0,10,2,0,0,0
Big Mike,1,0,0,3,1,0,0,0
Birdsong,0,0,0,2,5,0,0,0
Burgess,0,0,0,1,2,1,0,0
Bush,1,0,2,14,14,1,0,0
C Olsen,1,3,0,26,11,2,0,0
Caldwell,0,0,0,3,3,0,0,0
Cary,0,0,0,5,5,1,1,0
Crowe,0,0,0,2,1,0,0,0
Cutts,0,0,0,2,1,0,0,0
Danny On,0,2,0,0,4,0,0,0
French,2,1,1,7,2,0,0,0
Gainer,1,0,0,4,5,0,0,0
Hunt,1,0,0,2,2,0,0,0
JP Burns,0,1,2,4,16,2,1,0
Jaime,1,0,0,6,3,1,0,0
Karl E,0,0,0,2,2,0,0,0
Kelvin,3,0,3,3,4,0,0,0
Knowles,0,1,0,11,0,0,0,0
Kyle S,0,1,1,11,21,1,0,0
Matt S,1,4,0,30,31,1,1,0
Micah Jo,0,0,0,2,8,1,0,0
Minch,2,0,0,9,7,0,0,0
Parker,1,1,0,16,24,1,1,0
Patrick,0,0,0,0,1,0,0,0
Perivier,1,1,0,34,10,0,0,0
Player,0,1,1,14,8,3,0,0
Rae,1,1,0,0,2,1,0,0
Rogers,0,1,1,3,1,0,0,0
Sperling,1,1,0,9,2,0,1,0
Sun,0,0,1,12,14,1,0,0
Thor,0,2,1,6,6,0,0,0
Trenton,0,1,0,8,0,1,1,0
Will L,1,1,0,0,2,1,0,0
Yusuf,0,0,0,0,3,0,0,0
A Davis,0,0,0,10,13,1,0,0
A Walch,2,0,0,5,22,0,0,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,0,0,1,1,10,1,0,0
B Gfroer,0,0,0,1,4,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,2,0,0,6,12,0,0,0
C Brooks,0,1,0,3,5,2,0,0
C Cunnin,5,4,3,27,22,0,0,0
C Grimm,0,0,0,1,1,0,0,0
C Mika,0,0,0,1,1,0,0,0
C Vargas,0,0,0,3,7,1,0,0
D Richar,0,0,1,8,11,1,0,0
E Moore,2,1,1,3,1,1,0,0
EPollack,1,2,0,19,23,2,1,0
J Cecil,1,1,0,1,2,0,0,0
J Wolfe,2,1,2,10,7,1,0,0
J Zdrodo,1,0,0,8,2,1,0,0
JCecil,0,0,1,1,1,0,0,0
JHollera,0,0,0,0,0,0,0,0
JLoskorn,1,1,1,39,42,0,1,0
K Daftar,0,0,0,1,0,0,0,0
K Henke,1,1,1,8,7,0,0,0
K Thomas,1,0,0,4,12,1,0,0
Kamron D,1,0,0,0,0,0,0,0
Kevin Ha,0,0,0,0,0,0,0,0
M Biersc,1,0,0,2,9,0,0,0
M Cook,2,3,0,31,47,2,0,0
M Natenb,0,4,0,15,7,1,0,0
M Walter,1,0,1,3,3,1,0,0
MMatthis,2,0,1,3,1,1,0,0
MaBennet,0,0,0,19,15,2,0,0
MiBennet,0,0,0,0,0,0,0,0
Murphy,0,0,0,1,0,1,0,0
N Whale,0,0,0,2,2,0,0,0
Naji,0,0,0,0,0,0,0,0
Nash Moc,1,0,0,0,0,0,0,0
P Starke,0,2,0,34,29,1,0,0
R Lewis,0,0,0,7,2,0,0,0
R Orloff,1,1,0,7,22,2,0,0
RPurcell,1,3,0,7,8,0,0,0
Rogers,0,0,0,0,1,0,0,0
T Chiu,0,0,0,0,0,0,0,0
Unknown,0,1,0,1,0,0,0,0
VRenshaw,0,1,1,6,2,0,0,0
Bill,0,1,0,9,2,0,0,0
Bruno,0,0,0,0,0,0,0,0
CJ,0,0,0,1,2,1,0,0
Chowder,2,0,0,2,1,3,0,0
Danny,4,1,0,20,9,2,1,0
Dave,0,0,0,8,8,0,0,0
Drew,0,0,1,4,1,0,0,0
Goff,1,2,2,1,11,2,0,0
Grant,0,0,0,2,13,0,0,0
Jack,0,1,0,2,5,0,0,0
Jason,0,0,0,12,2,0,0,0
Jeff,0,0,0,2,19,0,0,0
Jeremy,1,0,0,7,1,1,0,0
Jimmy,0,0,1,6,3,0,0,0
Judah,0,0,0,13,10,3,0,0
Karl,0,0,1,2,2,0,0,0
Kurt,4,1,0,27,22,2,0,0
Mater,1,0,0,2,2,0,0,0
Max,1,1,1,14,37,1,0,0
Neal,0,0,0,0,8,0,0,0
Nick,0,0,0,4,6,0,0,0
Nicky,1,0,0,2,3,0,0,0
Pardo,3,0,4,21,13,1,0,0
Pawel,3,7,0,54,54,3,0,0
Roddy,0,0,0,0,0,0,0,0
Ross,0,0,1,31,33,3,0,0
Simon,3,0,0,11,5,3,1,0
Slymer,1,1,1,0,6,1,0,0
Tommy,0,0,1,16,23,1,0,0
Uber,2,1,0,0,5,0,0,0
Vock,0,0,0,0,0,0,0,0
Wets,0,0,2,10,13,0,0,0
