player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,0,0,0,3,1,1,0,0
A Taylor,0,3,0,14,22,1,1,0
Allan L,1,1,0,1,6,1,0,0
Batson,1,0,0,8,3,0,0,0
Big Mike,0,0,0,1,5,0,0,0
Birdsong,0,0,0,1,1,0,0,0
Burgess,0,0,0,2,3,0,0,0
Bush,2,1,1,11,6,1,0,0
C Olsen,3,1,0,39,25,1,0,0
Caldwell,0,0,0,7,1,0,0,0
Cary,1,0,0,3,1,0,0,0
Crowe,0,0,0,1,1,0,0,0
Cutts,0,0,0,4,2,0,0,0
Danny On,1,0,1,7,5,0,0,0
French,3,1,0,1,4,0,0,0
Gainer,0,1,0,12,6,0,0,0
Hunt,1,0,0,3,3,0,0,0
JP Burns,0,1,1,15,11,2,0,0
Jaime,1,1,0,5,7,0,0,0
Karl E,0,0,0,2,4,1,0,0
Kelvin,2,1,2,5,3,0,0,0
Knowles,1,0,1,0,2,0,0,0
Kyle S,0,2,0,4,9,1,0,0
Matt S,2,3,1,27,40,1,1,0
Micah Jo,0,0,0,4,5,0,1,0
Minch,1,1,0,21,2,0,0,0
Parker,1,1,2,9,25,1,0,0
Patrick,0,0,0,3,0,0,0,0
Perivier,0,0,0,18,7,0,0,0
Player,0,1,1,15,19,1,0,0
Rae,0,1,0,4,5,0,0,0
Rogers,1,0,0,0,6,0,0,0
Sperling,1,1,1,1,15,0,1,0
Sun,0,0,1,12,1,1,0,0
Thor,1,1,2,3,3,1,0,0
Trenton,0,1,2,7,12,1,0,0
Will L,1,0,0,0,3,0,0,0
Yusuf,0,0,0,1,1,0,0,0
A Davis,0,0,0,4,7,1,0,0
A Walch,1,0,0,21,9,1,0,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,0,1,0,2,5,1,0,0
B Gfroer,0,0,0,1,2,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,1,1,0,12,2,1,0,0
C Brooks,2,0,0,1,5,0,0,0
C Cunnin,4,1,3,21,16,2,1,0
C Grimm,0,0,0,1,1,0,0,0
C Mika,0,0,0,0,1,0,0,0
C Vargas,0,1,0,5,9,1,1,0
D Richar,0,0,2,2,16,1,0,0
E Moore,2,1,1,1,0,1,0,0
EPollack,2,1,2,8,17,1,0,0
J Cecil,0,1,0,3,1,0,0,0
J Wolfe,1,1,1,8,0,2,0,0
J Zdrodo,1,0,1,7,1,1,0,0
JCecil,0,0,0,2,3,0,0,0
JHollera,0,0,1,0,1,0,0,0
JLoskorn,2,2,0,33,7,1,0,0
K Daftar,1,0,0,1,1,0,0,0
K Henke,4,3,0,14,5,2,2,0
K Thomas,1,1,0,3,12,0,0,0
Kamron D,0,0,0,1,0,0,0,0
Kevin Ha,0,0,0,0,0,0,0,0
M Biersc,0,2,0,8,3,1,0,0
M Cook,1,0,0,22,19,3,0,0
M Natenb,1,1,1,7,1,0,0,0
M Walter,0,0,1,7,1,0,0,0
MMatthis,5,1,0,10,5,1,0,0
MaBennet,0,1,0,1,7,0,0,0
MiBennet,0,0,0,0,0,0,0,0
Murphy,0,0,0,1,1,0,0,0
N Whale,0,0,0,1,1,0,0,0
Naji,0,0,0,0,0,0,0,0
Nash Moc,0,0,0,2,1,0,0,0
P Starke,0,1,0,4,4,1,0,0
R Lewis,1,1,0,1,21,2,0,0
R Orloff,2,2,0,25,26,0,0,0
RPurcell,2,0,1,14,33,1,0,0
Rogers,0,0,0,0,0,0,0,0
T Chiu,0,0,0,0,0,0,0,0
Unknown,0,0,0,0,1,0,0,0
VRenshaw,0,0,1,2,0,0,0,0
Bill,0,1,1,1,9,1,0,0
Bruno,0,0,0,0,0,0,0,0
CJ,1,0,0,2,0,2,0,0
Chowder,2,1,0,3,4,0,0,0
Danny,2,2,0,26,13,1,0,0
Dave,0,0,0,8,9,0,0,0
Drew,1,1,0,6,6,0,0,0
Goff,1,0,3,8,2,1,0,0
Grant,1,0,0,5,2,0,0,0
Jack,1,0,0,7,0,0,0,0
Jason,0,1,0,3,10,0,0,0
Jeff,1,0,0,9,17,0,0,0
Jeremy,1,0,0,8,4,1,0,0
Jimmy,1,1,0,6,9,1,0,0
Judah,0,0,0,2,4,0,0,0
Karl,0,0,1,4,0,0,0,0
Kurt,3,0,0,39,16,1,0,0
Mater,1,1,2,2,2,1,0,0
Max,1,0,0,33,6,0,0,0
Neal,0,1,0,1,2,1,0,0
Nick,0,0,0,0,11,0,0,0
Nicky,1,0,0,14,17,0,0,0
Pardo,1,2,2,25,7,0,0,0
Pawel,0,7,0,53,58,1,0,0
Roddy,0,0,0,1,0,0,0,0
Ross,3,4,0,30,17,2,1,0
Simon,1,2,0,8,14,0,0,0
Slymer,0,1,3,1,3,1,0,0
Tommy,1,1,1,24,3,1,0,0
Uber,1,1,0,5,14,0,0,0
Vock,0,0,0,0,0,0,0,0
Wets,1,1,1,6,21,3,1,0
Zeman,2,0,1,1,3,1,0,0
Ben R,1,0,0,3,1,0,0,0
Blake,0,0,0,1,0,0,0,0
Borik,0,0,1,3,4,1,0,0
C Olson,1,0,0,17,7,0,0,0
CLarberg,1,0,2,10,2,1,0,0
CUghetta,1,1,0,7,10,1,0,0
Carson,2,3,1,21,12,1,0,0
Carter,0,1,0,7,2,1,0,0
Casey,0,0,1,3,3,1,0,0
Chris P,0,0,0,1,0,0,0,0
Dalton,1,3,2,1,28,0,0,0
Danimal,0,0,0,2,2,0,1,0
Dillon,0,2,1,8,14,3,0,0
E-Bay,1,0,1,8,1,0,0,0
Griffin,1,1,0,2,1,0,0,0
Henry,0,1,0,19,10,0,0,0
Jack W,0,0,0,1,0,0,0,0
Jay,3,4,1,25,38,3,1,0
Joe C,0,0,0,0,0,0,0,0
Joe T,0,0,0,2,0,1,0,0
Joel,0,0,1,10,4,0,0,0
K Bow,0,0,0,0,0,0,1,0
K Rich,1,3,1,35,1,1,0,0
Kai,1,1,1,14,0,0,1,0
Kaplan,2,2,1,12,11,1,0,0
LaRocque,1,0,0,26,35,0,0,0
Matthew,0,1,1,3,4,1,0,0
Matty J,0,2,1,27,19,1,0,0
Muffin,1,4,0,0,2,4,0,0
Noah,1,1,1,4,4,0,0,0
Peter,0,0,0,0,0,0,0,0
Reese,0,0,0,1,0,0,0,0
Reid,1,0,0,4,1,0,0,0
Riggins,0,0,1,2,8,0,0,0
Ryan,0,0,0,1,0,0,0,0
Suds,1,0,1,2,10,1,0,0
Thomas,2,0,1,30,15,2,0,0
Wesley,0,0,0,0,0,0,0,0
Zach M,1,1,2,3,2,1,0,0
Aaron L,1,0,0,0,2,1,0,0
Alex F,2,1,0,1,3,0,0,0
Alex L,0,0,0,1,3,0,0,0
Austin B,0,1,0,6,15,2,0,0
Ben P,0,0,0,1,0,0,0,0
Brad S,2,1,2,9,2,1,1,0
Chris B,9,1,0,10,3,1,0,0
Chris Be,0,0,0,0,0,0,0,0
Cory B,1,1,2,6,7,2,0,0
David S,0,1,0,14,0,0,0,0
Eric M,0,1,0,14,10,0,0,0
Gabe W,0,0,0,2,2,1,0,0
Houst P,0,0,0,2,0,1,0,0
Jeff W,3,3,1,5,7,2,0,0
Joe R,1,0,1,5,2,0,0,0
John W,0,0,0,3,12,1,0,0
Jonny M,1,1,0,5,1,0,0,0
Kyle K,2,0,0,5,2,1,0,0
Leo P,0,1,1,2,0,0,0,0
Lloyd B,2,2,0,27,18,1,0,0
Marcus T,1,3,1,9,23,2,0,0
Matt K,3,1,1,17,34,1,0,0
Matt N,0,0,0,1,3,0,0,0
Max C,1,1,0,14,7,2,1,0
Nate C,0,0,0,5,2,1,1,0
Nate P,1,4,0,27,34,4,0,0
Peter M,0,0,0,1,2,0,0,0
Quinn B,1,0,1,3,0,1,0,0
Rhys B,0,1,3,7,4,0,0,0
Rico J,3,0,2,27,11,1,0,0
Rowen M,5,1,1,40,70,1,0,0
Ryan S,1,0,0,22,3,3,0,0
Troy H,2,1,0,10,10,1,0,0
Xavier M,1,1,1,30,32,5,0,0
Zach N,0,0,0,11,0,1,1,0
Andy,0,0,0,8,9,1,0,0
Basten,1,0,1,15,6,1,0,0
Besser,0,6,0,14,18,2,0,0
Billy,0,0,0,1,1,0,0,0
Brendan,1,1,1,5,1,1,0,0
Bubbles,0,1,0,1,0,0,0,0
Burke,1,0,1,3,9,1,0,0
Channing,1,1,1,18,37,1,1,0
Chris,1,0,0,1,4,1,0,0
Colucci,0,0,0,2,2,1,0,0
Compo,0,1,1,1,3,3,0,0
D Yu,0,1,0,1,8,2,0,0
Danny,0,0,0,0,0,0,0,0
David,0,1,0,0,2,1,1,0
Drew,0,0,0,3,5,3,0,0
Evan,0,0,2,4,8,1,1,0
Jay,0,2,0,14,48,5,1,0
Josh,0,0,0,42,34,0,1,0
Justin,0,1,1,14,8,0,1,0
Karl,0,1,1,2,21,2,1,0
Kevin,0,0,0,2,14,0,0,0
Leslie,0,1,0,4,11,3,0,0
Luis,1,1,1,12,4,0,0,0
Mark,3,3,1,1,8,1,0,0
Noah,0,0,1,1,30,4,0,0
Nolan,1,0,0,5,4,1,0,0
Parker,2,2,0,1,8,3,1,0
Pip,0,1,1,19,32,1,0,0
Rio,1,1,1,16,0,0,0,0
Ryan,0,1,0,5,1,0,0,0
Shrew,1,0,0,7,6,0,0,0
Tate,6,1,0,17,18,2,0,0
Tim,0,0,1,4,7,0,0,0
Tom,0,0,0,2,2,0,0,0
Trey,1,4,3,13,12,2,1,0
Troy,0,0,0,2,6,0,0,0
Wes,0,0,0,0,0,0,0,0
X,0,0,0,3,3,0,0,0
Yergin,0,0,1,3,8,2,1,0
Zach,0,1,0,6,13,2,0,0
Aaron S,2,2,1,10,5,1,0,0
Alex H,1,0,0,14,1,0,0,0
Cam B,8,2,0,20,23,1,1,0
Colin R,1,1,0,4,5,1,1,0
Colton S,0,1,1,2,2,0,0,0
Conner H,0,0,0,6,1,0,1,0
Connor L,0,0,0,2,1,0,0,0
Dan C,0,0,1,0,2,0,0,0
Donova T,1,0,3,8,3,0,0,0
Heath K,1,0,0,3,3,0,0,0
Jake F,0,1,0,6,4,1,0,0
Jesse J,1,0,0,1,0,1,0,0
Joey C,0,0,0,4,1,0,0,0
John J,2,1,4,3,4,1,0,0
Jon W,0,0,1,6,1,2,0,0
Josh D,0,0,0,2,0,0,0,0
Keegan N,3,1,0,32,4,0,1,0
Keenan P,0,1,1,47,26,1,0,0
Kip C,1,2,0,4,3,1,0,0
Kyle C,0,0,1,25,13,1,0,0
Levi J,0,2,0,14,5,2,0,0
Michae A,0,0,0,6,2,0,1,0
Nathan B,0,0,0,1,3,0,0,0
Nick H,0,2,2,6,4,0,1,0
Peter C,1,1,1,4,6,0,0,0
Rick G,2,0,1,27,12,1,0,0
Robbie C,0,0,0,2,1,1,0,0
Sam S,1,2,1,30,25,0,1,0
Spence L,1,0,2,7,4,0,1,0
Stephen,0,1,0,4,0,0,0,0
Terry G,0,0,0,1,1,0,0,0
Travis C,0,3,1,63,44,0,0,0
Zach Z,0,0,0,2,1,0,0,0
Bacon,2,1,1,13,20,0,1,0
Barnett,0,0,0,1,4,1,0,0
Bartholo,0,0,0,1,2,0,0,0
Beatty,3,1,0,44,39,2,0,0
Brooks,1,3,0,12,7,0,0,0
Cohen,1,5,0,10,11,2,0,0
Doi,0,2,0,10,15,2,0,0
Drum,0,0,0,4,10,0,0,0
Eder,0,0,0,2,0,0,0,0
Elbogen,5,2,0,11,22,2,1,0
Ferguson,0,0,0,1,0,0,0,0
Friedman,0,2,0,2,36,2,0,0
George,2,0,1,18,12,1,0,0
Kiyoi,0,2,1,0,11,0,0,0
Lai,1,0,1,34,16,1,0,0
Lepore,1,0,0,1,1,0,0,0
Lissner,4,5,2,3,2,2,0,0
Mazur,3,1,2,44,11,1,0,0
Mcdougal,4,0,0,16,28,1,1,0
Mcrae,0,0,0,0,0,0,0,0
