player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,2,0,0,13,6,0,0,0
A Taylor,0,4,1,25,25,1,1,0
Allan L,0,0,0,6,3,1,0,0
Batson,1,0,0,1,1,0,0,0
Big Mike,1,0,0,3,1,0,0,0
Birdsong,0,0,0,0,1,0,0,0
Burgess,0,0,0,2,1,0,0,0
Bush,1,2,1,11,14,1,0,0
C Olsen,4,1,1,38,10,3,0,0
Caldwell,0,0,0,2,4,1,0,0
Cary,1,0,0,1,2,0,0,0
Crowe,0,0,0,2,1,0,0,0
Cutts,0,0,0,3,1,0,0,0
Danny On,1,1,1,17,2,0,0,0
French,1,1,0,1,7,0,0,0
Gainer,0,1,0,2,18,0,0,0
Hunt,2,0,1,2,2,1,0,0
JP Burns,2,1,0,9,14,0,0,0
Jaime,1,0,0,11,8,0,0,0
Karl E,1,0,0,0,2,0,0,0
Kelvin,1,0,3,6,8,0,0,0
Knowles,0,2,0,10,4,0,0,0
Kyle S,1,3,0,21,43,1,0,0
Matt S,2,5,1,16,20,1,0,0
Micah Jo,0,0,0,3,6,0,1,0
Minch,1,2,0,5,12,1,0,0
Parker,3,1,2,12,13,3,0,0
Patrick,0,0,0,0,6,1,0,0
Perivier,0,1,0,2,13,0,0,0
Player,0,1,1,22,20,1,0,0
Rae,1,0,0,7,4,1,0,0
Rogers,0,0,1,4,2,0,0,0
Sperling,4,0,0,4,6,0,0,0
Sun,0,1,1,22,21,1,1,0
Thor,1,0,0,11,1,1,0,0
Trenton,0,0,1,6,6,0,0,0
Will L,2,0,1,7,0,0,0,0
Yusuf,0,1,0,2,4,0,0,0
A Davis,0,0,0,1,11,0,0,0
A Walch,2,0,2,7,4,1,0,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,1,1,0,4,3,1,1,0
B Gfroer,0,0,1,2,2,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,2,0,0,10,10,0,0,0
C Brooks,0,0,0,5,4,1,0,0
C Cunnin,2,3,2,36,23,4,0,0
C Grimm,0,1,0,1,1,0,0,0
C Mika,0,0,0,0,0,0,0,0
C Vargas,0,1,0,2,10,4,0,0
D Richar,0,0,0,9,11,2,0,0
E Moore,1,1,0,5,2,1,0,0
EPollack,1,3,1,11,6,1,0,0
J Cecil,0,0,0,2,4,0,0,0
J Wolfe,2,1,0,7,9,1,0,0
J Zdrodo,0,2,1,0,5,0,0,0
JCecil,0,0,0,1,2,0,0,0
JHollera,0,0,1,0,1,0,0,0
JLoskorn,1,0,3,84,18,1,0,0
K Daftar,0,0,0,1,1,0,0,0
K Henke,3,4,0,9,11,1,0,0
K Thomas,0,1,1,5,13,1,0,0
Kamron D,0,0,0,1,1,0,0,0
Kevin Ha,0,0,0,0,0,0,0,0
M Biersc,1,0,0,0,3,1,0,0
M Cook,1,2,0,6,50,3,0,0
M Natenb,1,2,0,12,15,1,0,0
M Walter,1,1,1,6,9,0,1,0
MMatthis,4,0,0,10,1,0,0,0
MaBennet,0,1,0,2,13,1,0,0
MiBennet,0,0,0,0,0,0,0,0
Murphy,0,0,0,0,1,0,0,0
N Whale,0,0,0,3,2,0,0,0
Naji,0,0,0,0,0,0,0,0
