player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,3,0,0,5,2,1,1,0
A Taylor,1,1,0,22,25,1,0,0
Allan L,0,1,1,10,2,0,0,0
Batson,2,0,1,7,2,0,0,0
Big Mike,0,0,0,0,3,0,0,0
Birdsong,0,0,1,4,1,0,0,0
Burgess,0,0,0,2,0,0,0,0
Bush,0,1,2,20,15,2,0,0
C Olsen,1,0,1,38,22,1,0,0
Caldwell,0,0,0,2,0,1,1,0
Cary,1,0,0,7,7,0,0,0
Crowe,0,0,0,1,2,0,0,0
Cutts,0,0,0,0,0,0,0,0
Danny On,1,1,0,12,16,0,0,0
French,1,0,0,4,2,0,0,0
Gainer,0,1,0,8,6,0,0,0
Hunt,0,0,0,3,1,0,0,0
JP Burns,4,2,1,11,14,1,0,0
Jaime,0,0,0,7,2,0,0,0
Karl E,1,0,0,2,0,1,0,0
Kelvin,1,0,1,1,4,0,0,0
Knowles,0,1,0,11,13,0,0,0
Kyle S,0,1,1,26,33,0,0,0
Matt S,1,3,0,32,17,1,0,0
Micah Jo,0,0,0,2,4,2,0,0
Minch,1,0,0,8,12,1,0,0
Parker,2,3,0,18,8,2,0,0
Patrick,0,0,0,6,0,0,0,0
Perivier,1,0,0,3,9,1,0,0
Player,1,0,0,17,16,0,0,0
Rae,1,2,0,0,4,0,0,0
Rogers,1,1,1,0,4,0,0,0
Sperling,1,1,1,1,2,0,1,0
Sun,0,1,1,9,20,2,1,0
Thor,0,0,0,8,8,0,1,0
Trenton,0,1,1,2,4,1,1,0
Will L,3,0,1,7,3,1,1,0
Yusuf,1,0,0,1,1,0,0,0
A Davis,0,0,0,7,2,1,0,0
A Walch,2,0,1,2,3,1,0,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,1,1,0,1,6,0,0,0
B Gfroer,0,0,1,2,1,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,1,1,0,13,12,2,0,0
C Brooks,0,0,0,5,4,0,0,0
C Cunnin,3,3,0,25,26,6,0,0
C Grimm,0,0,0,1,0,0,0,0
C Mika,0,0,1,1,1,0,0,0
C Vargas,0,1,0,1,4,0,0,0
D Richar,0,1,2,5,0,3,0,0
E Moore,2,1,1,6,7,0,0,0
EPollack,3,1,1,3,19,0,0,0
J Cecil,2,1,0,3,0,0,0,0
J Wolfe,3,1,2,3,5,1,0,0
J Zdrodo,1,1,0,10,1,0,1,0
JCecil,0,0,1,0,1,0,0,0
JHollera,0,0,0,3,0,0,0,0
JLoskorn,1,1,2,6,7,1,1,0
K Daftar,1,0,0,0,2,0,0,0
K Henke,2,4,1,13,16,3,2,0
K Thomas,0,1,0,23,2,0,0,0
Kamron D,0,0,0,1,0,0,0,0
Kevin Ha,0,0,0,0,0,0,0,0
M Biersc,0,1,1,2,1,1,1,0
M Cook,2,0,1,16,24,1,1,0
M Natenb,1,1,0,21,31,1,0,0
M Walter,1,1,1,1,2,0,0,0
MMatthis,4,0,1,9,3,0,0,0
MaBennet,0,2,1,3,3,2,0,0
MiBennet,0,0,0,0,0,0,0,0
Murphy,0,0,0,1,0,0,0,0
N Whale,0,0,1,0,2,0,0,0
Naji,0,0,0,0,0,0,0,0
Nash Moc,1,0,0,3,1,0,0,0
P Starke,0,3,0,6,12,3,0,0
R Lewis,2,1,0,17,16,1,0,0
R Orloff,2,1,0,30,16,1,0,0
RPurcell,0,0,0,8,7,0,0,0
Rogers,0,0,0,0,0,0,0,0
T Chiu,0,0,0,0,0,0,0,0
Unknown,0,1,0,0,0,0,0,0
VRenshaw,1,2,0,2,1,0,0,0
Bill,1,0,1,1,1,1,0,0
Bruno,0,0,0,1,0,0,0,0
CJ,0,0,1,6,5,0,0,0
Chowder,0,1,0,16,4,0,0,0
Danny,2,2,0,16,9,1,0,0
Dave,0,0,0,13,2,0,0,0
Drew,0,0,0,1,4,0,0,0
Goff,1,1,3,1,5,0,0,0
Grant,0,0,0,9,12,0,0,0
Jack,2,0,1,10,4,1,0,0
Jason,0,0,0,0,2,0,1,0
Jeff,0,0,0,11,2,0,0,0
Jeremy,1,0,0,7,0,2,1,0
Jimmy,0,0,0,5,6,1,0,0
Judah,0,0,0,10,17,2,0,0
Karl,1,1,0,2,2,0,0,0
Kurt,4,4,0,6,0,2,0,0
Mater,0,0,0,1,2,1,0,0
Max,0,1,1,22,6,1,0,0
Neal,0,0,0,3,7,0,0,0
Nick,0,0,0,14,21,0,0,0
Nicky,0,0,0,3,10,0,0,0
Pardo,3,2,2,22,29,1,1,0
Pawel,0,7,1,46,58,4,0,0
Roddy,0,0,0,1,0,0,0,0
Ross,4,5,1,27,15,1,1,0
Simon,0,1,0,14,3,1,0,0
Slymer,1,1,1,1,0,1,0,0
Tommy,0,1,0,39,44,0,0,0
Uber,0,1,0,5,1,1,1,0
Vock,0,0,0,0,0,0,0,0
Wets,2,0,1,12,23,1,1,0
Zeman,0,0,0,1,2,1,0,0
Ben R,0,0,0,0,2,0,0,0
Blake,0,0,0,0,0,0,0,0
Borik,0,0,0,1,2,1,0,0
C Olson,3,1,0,3,1,0,1,0
CLarberg,2,0,1,2,4,0,0,0
CUghetta,0,0,0,11,7,1,0,0
Carson,0,1,2,4,10,2,0,0
Carter,1,0,0,4,1,0,0,0
Casey,0,0,1,0,2,0,0,0
Chris P,0,0,0,1,1,0,0,0
Dalton,3,4,1,42,29,0,0,0
Danimal,1,0,1,3,1,0,0,0
Dillon,1,2,0,19,29,4,1,0
E-Bay,1,1,1,2,3,1,0,0
Griffin,1,1,0,2,4,0,0,0
Henry,0,0,1,9,14,0,0,0
Jack W,0,0,1,1,1,1,0,0
Jay,5,1,0,26,11,1,0,0
Joe C,0,0,0,0,1,0,0,0
Joe T,0,0,0,2,1,0,0,0
Joel,2,1,0,5,9,1,0,0
K Bow,0,0,0,0,0,0,1,0
