player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,2,1,0,4,1,0,0,0
A Taylor,0,3,0,9,11,0,1,0
Allan L,1,2,0,1,2,1,0,0
Batson,0,0,0,4,1,1,0,0
Big Mike,1,0,0,3,1,0,0,0
Birdsong,1,0,0,1,3,0,0,0
Burgess,0,0,0,1,1,0,0,0
Bush,1,1,0,12,10,0,0,0
C Olsen,1,2,1,17,10,1,0,0
Caldwell,0,0,0,3,2,1,0,0
Cary,1,0,0,5,1,0,0,0
Crowe,0,0,0,0,1,0,0,0
Cutts,0,0,0,3,0,0,0,0
Danny On,2,0,0,3,5,0,0,0
French,0,1,1,1,1,0,0,0
Gainer,1,0,0,4,3,0,0,0
Hunt,0,1,0,8,2,0,0,0
JP Burns,3,3,1,3,13,0,0,0
Jaime,0,0,0,5,2,0,0,0
Karl E,0,0,0,1,1,0,0,0
Kelvin,0,0,0,5,1,0,0,0
Knowles,1,1,0,3,5,0,0,0
Kyle S,0,1,0,14,13,2,0,0
Matt S,2,3,0,20,7,0,0,0
Micah Jo,0,0,0,2,2,1,0,0
Minch,3,1,0,9,18,1,0,0
Parker,0,5,1,32,10,1,1,0
Patrick,0,0,0,10,4,0,0,0
Perivier,1,1,0,1,12,1,0,0
Player,0,2,0,13,16,2,0,0
Rae,1,0,0,2,3,1,0,0
Rogers,0,1,1,3,1,0,1,0
Sperling,0,3,1,6,9,0,0,0
Sun,2,1,0,12,5,1,0,0
Thor,1,0,1,13,1,0,0,0
Trenton,0,1,1,7,3,0,0,0
Will L,0,1,0,3,2,0,0,0
Yusuf,0,1,0,4,2,0,0,0
A Davis,0,0,0,1,18,2,0,0
A Walch,2,1,1,2,5,1,0,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,1,0,2,6,0,0,0,0
B Gfroer,0,0,1,1,3,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,0,1,0,2,4,3,0,0
C Brooks,1,0,0,4,2,1,0,0
C Cunnin,3,5,3,12,20,5,1,0
C Grimm,0,0,0,0,3,0,0,0
C Mika,0,0,0,0,0,0,0,0
C Vargas,0,0,0,3,10,3,1,0
D Richar,1,0,0,6,16,1,0,0
E Moore,1,1,1,3,6,0,0,0
EPollack,1,1,0,16,13,1,0,0
J Cecil,0,0,0,1,4,0,0,0
J Wolfe,3,1,1,3,7,0,0,0
J Zdrodo,0,0,0,4,4,2,0,0
JCecil,0,0,0,0,1,0,0,0
JHollera,0,0,0,0,0,0,0,0
JLoskorn,1,3,1,42,43,3,0,0
K Daftar,0,0,0,2,1,0,0,0
K Henke,5,4,0,13,14,2,1,0
K Thomas,0,1,0,8,5,2,0,0
Kamron D,0,0,0,2,0,0,0,0
Kevin Ha,0,0,0,0,0,0,0,0
M Biersc,0,0,1,10,6,0,0,0
M Cook,0,2,0,26,40,1,0,0
M Natenb,0,1,0,13,27,1,0,0
M Walter,1,0,1,0,1,0,1,0
MMatthis,1,0,1,11,9,0,0,0
MaBennet,0,2,0,4,8,2,0,0
MiBennet,0,0,0,0,0,0,0,0
Murphy,0,0,1,1,1,0,0,0
N Whale,0,0,0,1,4,0,0,0
Naji,0,0,0,0,0,0,0,0
Nash Moc,0,0,0,2,3,0,0,0
P Starke,0,0,0,2,12,1,0,0
R Lewis,1,0,0,3,14,0,0,0
R Orloff,3,1,0,15,15,3,1,0
RPurcell,1,2,0,4,7,2,0,0
Rogers,0,0,0,0,1,0,0,0
T Chiu,0,0,0,0,0,0,0,0
Unknown,0,0,0,0,1,0,0,0
VRenshaw,0,0,0,5,2,1,0,0
Bill,0,1,1,4,0,0,0,0
Bruno,0,0,0,0,0,0,0,0
CJ,1,0,1,5,3,1,0,0
Chowder,0,1,0,3,9,2,0,0
Danny,7,0,1,27,9,2,0,0
Dave,0,0,0,8,9,0,0,0
Drew,0,0,0,1,4,0,0,0
Goff,1,0,1,35,11,1,0,0
Grant,0,0,0,2,10,0,0,0
Jack,1,0,1,1,2,0,1,0
Jason,0,1,1,9,5,0,0,0
Jeff,0,1,0,26,19,0,0,0
Jeremy,1,0,0,2,7,1,0,0
Jimmy,0,1,1,1,6,1,0,0
Judah,0,1,1,0,8,0,0,0
Karl,0,0,1,2,1,0,0,0
