player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,0,0,0,2,11,1,0,0
A Taylor,0,2,0,37,27,1,0,0
Allan L,0,1,0,10,12,0,0,0
Batson,4,0,1,4,6,1,0,0
Big Mike,1,0,0,1,0,0,0,0
Birdsong,0,0,0,2,4,0,0,0
Burgess,0,0,0,2,3,0,0,0
Bush,1,0,0,13,6,0,0,0
C Olsen,3,3,2,31,28,1,0,0
Caldwell,0,0,0,3,1,1,0,0
Cary,0,1,0,5,4,0,0,0
Crowe,0,0,0,2,1,0,0,0
Cutts,1,0,0,2,1,0,0,0
Danny On,0,1,0,14,11,0,0,0
French,2,0,0,0,3,0,0,0
Gainer,1,1,0,3,1,1,0,0
Hunt,0,0,0,3,2,0,0,0
JP Burns,4,2,1,15,7,0,1,0
Jaime,1,0,0,3,0,0,0,0
Karl E,0,0,0,2,1,0,0,0
Kelvin,3,0,3,9,2,0,1,0
Knowles,1,0,0,5,7,1,0,0
Kyle S,1,1,0,9,19,3,0,0
Matt S,5,3,1,25,27,0,0,0
Micah Jo,0,0,0,1,14,0,0,0
Minch,0,1,1,18,6,0,0,0
Parker,1,5,2,31,24,1,0,0
Patrick,0,0,0,1,0,1,0,0
Perivier,1,4,0,1,30,1,0,0
Player,0,1,1,28,16,0,0,0
Rae,0,1,0,1,4,0,0,0
Rogers,1,0,1,6,4,0,0,0
Sperling,1,2,0,9,3,0,0,0
Sun,1,1,0,10,19,1,0,0
Thor,0,0,0,8,1,0,0,0
Trenton,0,2,1,7,6,1,1,0
Will L,1,0,1,5,6,0,0,0
Yusuf,0,0,0,4,2,0,0,0
A Davis,0,0,0,3,16,0,0,0
A Walch,4,0,0,19,10,0,0,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,1,1,1,3,5,1,0,0
B Gfroer,0,0,2,0,3,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,1,0,0,4,10,0,0,0
C Brooks,1,0,0,5,3,0,0,0
C Cunnin,3,0,3,23,32,3,1,0
C Grimm,0,0,0,0,0,0,0,0
C Mika,1,0,0,1,1,0,0,0
C Vargas,0,1,0,9,14,1,0,0
D Richar,2,0,1,4,0,3,0,0
E Moore,0,0,1,5,3,1,0,0
EPollack,2,0,0,17,6,1,0,0
J Cecil,1,0,0,1,2,0,0,0
J Wolfe,3,2,1,14,6,1,0,0
J Zdrodo,1,0,1,4,2,1,0,0
JCecil,0,0,2,2,2,0,0,0
JHollera,0,0,0,2,0,0,0,0
JLoskorn,0,0,1,53,38,2,0,0
K Daftar,1,0,0,0,0,0,0,0
K Henke,5,1,0,22,4,2,0,0
K Thomas,1,1,0,5,4,0,0,0
Kamron D,1,0,0,0,1,0,0,0
Kevin Ha,0,0,0,0,0,0,0,0
M Biersc,1,3,0,2,3,1,1,0
M Cook,1,1,0,43,48,0,0,0
M Natenb,1,1,0,28,3,1,0,0
M Walter,2,0,1,3,8,0,0,0
MMatthis,1,0,0,2,3,0,0,0
MaBennet,0,0,1,5,2,3,0,0
MiBennet,0,0,0,0,0,0,0,0
Murphy,0,0,0,0,0,0,0,0
N Whale,0,0,0,1,0,0,0,0
Naji,0,0,0,0,0,0,0,0
Nash Moc,0,0,0,0,0,0,0,0
P Starke,0,2,0,37,4,1,0,0
R Lewis,2,1,0,1,1,1,0,0
R Orloff,0,2,0,16,1,1,1,0
RPurcell,0,0,0,25,13,2,0,0
Rogers,0,0,0,0,1,0,0,0
T Chiu,0,0,0,0,0,0,0,0
Unknown,0,1,0,0,0,0,0,0
VRenshaw,0,1,0,3,3,0,0,0
Bill,1,1,0,2,4,0,0,0
Bruno,0,0,0,1,0,0,0,0
CJ,0,0,1,5,0,0,0,0
Chowder,1,1,0,2,7,1,0,0
Danny,2,0,1,7,16,0,1,0
Dave,0,0,0,10,3,0,0,0
Drew,1,0,0,4,4,0,0,0
Goff,1,3,1,5,2,0,0,0
Grant,1,0,0,10,2,0,0,0
Jack,1,1,0,3,7,0,0,0
Jason,0,0,2,1,4,0,1,0
Jeff,0,0,0,8,17,1,0,0
Jeremy,0,0,1,2,8,1,0,0
Jimmy,0,0,2,6,2,0,0,0
Judah,0,1,0,12,6,2,0,0
Karl,0,1,0,1,2,0,0,0
Kurt,1,1,0,29,33,3,0,0
Mater,1,0,0,2,2,1,0,0
Max,0,1,1,26,34,1,0,0
Neal,0,1,1,8,0,0,0,0
Nick,1,0,0,0,7,0,0,0
Nicky,2,0,1,3,8,0,0,0
Pardo,4,3,2,31,4,2,1,0
Pawel,0,9,0,59,59,1,0,0
Roddy,0,0,0,0,0,0,0,0
Ross,5,5,0,7,24,1,1,0
Simon,1,1,0,1,7,0,0,0
Slymer,1,1,2,5,5,2,0,0
Tommy,2,0,0,19,29,0,0,0
Uber,1,0,0,0,4,0,0,0
Vock,0,0,0,0,0,0,0,0
Wets,2,1,2,24,12,1,0,0
Zeman,2,0,0,6,4,1,0,0
Ben R,1,0,2,4,2,0,0,0
Blake,0,0,0,0,0,0,0,0
Borik,0,0,1,3,0,1,0,0
C Olson,2,0,0,9,12,1,0,0
CLarberg,1,0,1,3,1,0,0,0
CUghetta,0,0,0,10,8,1,0,0
Carson,4,1,3,20,28,2,0,0
Carter,1,1,1,4,1,0,1,0
Casey,0,0,0,1,2,1,0,0
Chris P,0,0,0,1,1,0,0,0
Dalton,4,3,1,30,24,2,0,0
Danimal,0,0,2,1,4,0,0,0
Dillon,1,6,0,27,28,1,1,0
E-Bay,0,0,0,15,3,0,0,0
Griffin,0,0,0,7,3,0,0,0
Henry,2,0,1,1,3,0,0,0
Jack W,0,0,1,0,1,0,0,0
Jay,7,6,1,25,22,3,0,0
Joe C,0,0,0,0,1,0,0,0
Joe T,0,0,0,2,1,1,0,0
Joel,3,0,1,10,6,1,0,0
K Bow,0,0,0,0,0,0,1,0
K Rich,6,1,1,27,22,1,0,0
Kai,2,1,0,0,7,0,0,0
Kaplan,0,0,2,16,13,1,0,0
LaRocque,1,2,1,13,53,1,0,0
Matthew,0,1,1,9,3,0,0,0
Matty J,0,1,0,29,15,1,0,0
Muffin,1,3,1,1,44,6,0,0
Noah,0,0,1,3,4,0,0,0
Peter,0,0,0,0,1,0,0,0
Reese,0,0,0,0,2,0,0,0
Reid,0,0,0,1,2,0,0,0
Riggins,0,1,1,2,6,0,0,0
Ryan,0,0,0,0,1,0,0,0
Suds,1,1,0,3,5,1,0,0
Thomas,1,2,1,27,21,1,0,0
Wesley,0,0,0,1,1,0,0,0
Zach M,0,1,2,9,1,1,0,0
Aaron L,1,1,1,4,3,0,0,0
Alex F,0,0,3,2,2,0,0,0
Alex L,0,0,0,1,2,0,0,0
Austin B,0,0,0,18,14,1,0,0
Ben P,0,0,0,0,1,0,0,0
Brad S,0,1,0,0,2,0,1,0
Chris B,9,0,0,4,11,1,1,0
Chris Be,0,0,0,0,0,0,0,0
Cory B,0,0,1,2,3,1,0,0
David S,0,0,0,3,4,1,0,0
Eric M,1,1,0,8,7,2,0,0
Gabe W,0,1,1,4,4,1,0,0
Houst P,0,0,0,3,4,1,0,0
Jeff W,4,1,1,4,8,1,1,0
Joe R,2,1,2,1,2,1,0,0
John W,0,0,0,1,9,1,0,0
Jonny M,2,0,0,3,2,0,0,0
Kyle K,1,0,0,1,1,0,0,0
Leo P,0,0,1,1,0,1,1,0
Lloyd B,2,4,1,30,19,1,0,0
Marcus T,1,2,1,23,5,2,0,0
Matt K,1,1,0,42,30,0,1,0
Matt N,0,1,0,5,6,0,0,0
Max C,1,0,0,10,8,1,0,0
Nate C,1,0,0,2,6,1,0,0
Nate P,0,2,2,43,18,2,0,0
Peter M,0,1,0,3,1,0,0,0
Quinn B,1,1,2,7,1,1,0,0
Rhys B,2,0,2,0,4,0,0,0
Rico J,0,2,1,15,19,0,0,0
Rowen M,2,3,3,70,5,0,1,0
Ryan S,1,1,1,11,4,1,0,0
Troy H,1,0,3,17,9,0,0,0
Xavier M,2,4,1,25,7,2,0,0
Zach N,0,1,0,29,51,2,0,0
Andy,0,2,0,16,7,1,1,0
Basten,2,1,2,2,2,0,0,0
Besser,1,1,0,4,6,1,0,0
Billy,0,0,0,2,0,0,0,0
Brendan,1,2,1,1,8,1,0,0
Bubbles,0,1,1,2,6,0,0,0
Burke,1,2,1,5,2,1,0,0
Channing,0,0,0,5,34,1,1,0
Chris,0,0,0,2,1,0,0,0
Colucci,0,0,0,1,2,1,1,0
Compo,0,1,0,5,13,3,1,0
D Yu,0,0,0,12,3,1,0,0
Danny,0,0,0,1,5,0,0,0
David,0,0,0,11,0,0,0,0
Drew,0,0,0,5,19,0,0,0
Evan,1,0,1,1,1,3,0,0
Jay,0,1,0,26,20,4,0,0
Josh,0,0,0,33,32,3,1,0
Justin,2,0,3,14,10,1,1,0
Karl,0,2,1,41,10,2,1,0
Kevin,0,0,0,16,7,0,0,0
Leslie,0,1,0,8,3,2,0,0
Luis,1,0,0,0,6,0,1,0
Mark,1,0,0,5,9,1,0,0
Noah,0,1,0,9,2,1,0,0
Nolan,1,0,0,7,6,1,0,0
Parker,2,1,0,28,4,2,1,0
Pip,0,0,0,4,9,0,0,0
Rio,3,0,1,6,7,0,1,0
Ryan,0,2,0,2,6,0,0,0
Shrew,0,1,1,6,5,0,0,0
Tate,2,3,0,6,32,6,0,0
Tim,0,1,0,6,6,0,0,0
Tom,0,0,0,2,5,0,0,0
Trey,1,4,1,25,6,1,1,0
Troy,0,0,0,3,1,0,0,0
Wes,0,0,0,0,0,0,0,0
X,0,0,0,0,4,0,0,0
Yergin,1,0,0,2,5,3,1,0
Zach,0,2,0,3,1,0,0,0
Aaron S,1,1,0,9,2,2,0,0
Alex H,1,0,0,21,13,1,0,0
Cam B,6,1,1,28,9,0,0,0
Colin R,0,0,0,6,7,1,0,0
Colton S,0,0,0,1,1,2,1,0
Conner H,2,0,0,4,2,0,1,0
Connor L,0,1,0,3,3,0,0,0
Dan C,0,0,0,2,0,1,0,0
Donova T,2,1,1,6,1,1,0,0
Heath K,1,0,1,1,4,0,0,0
Jake F,0,1,1,3,1,1,0,0
Jesse J,1,0,0,1,2,0,0,0
Joey C,0,0,0,0,0,1,0,0
John J,1,0,0,3,3,0,0,0
Jon W,1,0,0,1,4,0,0,0
Josh D,0,0,0,1,1,0,0,0
Keegan N,2,5,1,17,21,3,2,0
