player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,3,0,0,11,4,0,0,0
A Taylor,0,1,0,7,32,2,0,0
Allan L,1,0,0,11,8,0,0,0
Batson,1,0,0,4,3,0,0,0
Big Mike,0,0,0,3,1,0,0,0
Birdsong,0,0,0,8,3,0,0,0
Burgess,0,0,0,1,1,1,0,0
Bush,2,1,0,13,12,0,1,0
C Olsen,3,7,0,21,34,0,0,0
Caldwell,0,0,0,1,3,0,0,0
Cary,0,1,0,4,5,0,0,0
Crowe,0,0,0,0,1,0,0,0
Cutts,0,0,0,3,1,0,0,0
Danny On,3,1,0,7,10,0,0,0
French,0,0,1,1,1,0,0,0
Gainer,0,2,0,8,1,0,0,0
Hunt,1,0,0,11,1,0,0,0
JP Burns,2,2,0,16,15,1,1,0
Jaime,0,1,0,6,2,1,0,0
Karl E,0,0,0,2,1,1,0,0
Kelvin,0,0,0,6,3,0,0,0
Knowles,1,1,0,2,10,0,0,0
Kyle S,0,2,1,24,22,1,0,0
Matt S,0,1,1,19,31,0,0,0
Micah Jo,0,0,0,3,0,0,0,0
Minch,0,1,0,6,13,1,0,0
Parker,1,2,1,9,26,2,0,0
Patrick,0,0,0,3,1,1,0,0
Perivier,0,1,0,16,14,1,0,0
Player,1,1,0,22,23,0,0,0
Rae,1,0,0,1,5,0,0,0
Rogers,1,1,1,1,2,0,0,0
Sperling,1,0,1,11,4,0,1,0
Sun,1,2,0,12,5,3,0,0
Thor,0,0,0,3,3,1,0,0
Trenton,0,2,0,12,13,0,1,0
Will L,1,1,1,4,1,0,0,0
Yusuf,0,0,0,1,2,0,0,0
A Davis,0,0,0,14,5,1,0,0
A Walch,1,0,1,3,11,0,0,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,0,1,1,6,0,1,0,0
B Gfroer,0,0,0,0,1,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,0,0,0,7,5,1,0,0
C Brooks,0,0,0,6,4,0,0,0
C Cunnin,3,5,1,34,6,5,0,0
C Grimm,0,0,0,0,0,0,0,0
C Mika,0,0,0,1,0,0,0,0
C Vargas,0,0,0,6,15,0,0,0
D Richar,0,1,2,5,15,0,0,0
E Moore,2,1,1,3,5,1,0,0
EPollack,3,0,2,20,9,2,0,1
J Cecil,0,1,0,0,2,0,0,0
J Wolfe,4,0,1,6,16,0,0,0
J Zdrodo,0,1,0,9,7,1,0,0
JCecil,0,0,1,0,2,0,0,0
JHollera,0,0,0,0,0,0,0,0
JLoskorn,1,1,1,9,8,3,1,0
K Daftar,0,0,0,0,1,0,0,0
K Henke,5,0,0,19,14,2,0,0
K Thomas,1,1,0,6,6,0,0,0
Kamron D,1,0,0,2,0,0,0,0
Kevin Ha,0,0,0,0,0,0,0,0
M Biersc,0,1,0,5,9,1,0,0
M Cook,1,2,0,37,9,2,1,0
M Natenb,0,2,0,28,7,1,0,0
M Walter,1,0,0,1,3,0,0,0
MMatthis,2,1,0,0,9,1,0,0
MaBennet,0,0,1,3,3,0,0,0
MiBennet,0,0,0,0,0,0,0,0
Murphy,0,0,0,1,0,0,0,0
N Whale,0,0,0,0,1,0,0,0
Naji,0,0,0,0,0,0,0,0
Nash Moc,0,0,0,1,1,0,0,0
P Starke,0,0,0,7,10,0,0,0
R Lewis,0,0,0,10,6,1,1,0
R Orloff,5,1,0,17,18,1,1,0
RPurcell,0,1,0,22,11,0,0,0
Rogers,0,0,0,0,0,0,0,0
T Chiu,0,0,0,0,0,0,0,0
Unknown,0,1,0,1,0,0,0,0
VRenshaw,0,0,0,2,1,0,0,0
Bill,0,1,1,1,1,1,0,0
Bruno,0,0,0,2,0,0,0,0
CJ,1,0,0,4,1,0,0,0
Chowder,2,0,0,12,10,1,0,0
Danny,2,3,1,14,11,1,0,0
Dave,0,0,0,9,5,0,0,0
Drew,1,0,0,3,1,0,0,0
Goff,2,0,2,22,7,2,0,0
Grant,1,0,0,6,12,0,0,0
Jack,1,0,0,9,1,0,1,0
Jason,0,1,1,4,6,0,1,0
Jeff,0,0,0,4,5,1,0,0
Jeremy,1,0,0,4,3,3,0,0
Jimmy,0,1,2,4,3,0,0,0
Judah,1,0,0,2,2,1,0,0
Karl,0,0,1,3,2,0,0,0
Kurt,3,1,0,3,40,0,0,0
Mater,0,0,0,1,1,0,0,0
Max,1,0,1,23,43,1,0,0
Neal,0,1,1,1,2,0,0,0
Nick,0,0,0,6,8,0,0,0
Nicky,0,0,0,21,11,0,0,0
Pardo,8,1,1,42,16,2,0,0
Pawel,0,5,0,45,61,0,1,0
Roddy,0,0,0,1,0,0,0,0
Ross,2,1,0,30,13,3,0,0
Simon,1,2,0,14,2,3,0,0
Slymer,0,0,1,3,1,1,0,0
Tommy,1,0,0,7,5,1,0,0
Uber,1,0,1,7,7,0,0,0
Vock,0,0,0,0,0,0,0,0
Wets,0,1,1,27,5,1,1,0
Zeman,1,0,0,5,3,1,0,0
Ben R,2,0,1,5,1,0,0,0
Blake,0,0,0,1,0,0,0,0
Borik,0,0,1,4,0,0,0,0
C Olson,1,0,0,3,17,1,1,0
CLarberg,0,0,1,9,6,1,0,0
CUghetta,0,1,0,16,14,1,0,0
Carson,5,1,1,16,9,1,0,0
Carter,0,1,1,4,2,0,0,0
Casey,0,0,0,0,2,0,0,0
Chris P,0,0,0,0,0,0,0,0
Dalton,2,1,0,24,6,5,0,0
Danimal,1,1,0,7,4,0,0,0
Dillon,0,5,4,21,28,4,1,0
E-Bay,2,0,0,5,1,1,0,0
Griffin,0,1,1,1,1,0,0,0
Henry,1,1,0,11,3,0,0,0
Jack W,0,0,0,2,0,0,0,0
Jay,7,4,2,25,20,0,1,0
Joe C,0,0,0,0,1,0,0,0
Joe T,0,0,0,1,4,2,0,0
Joel,0,1,2,1,6,0,0,0
K Bow,0,0,1,0,0,0,0,0
K Rich,4,2,0,19,1,1,0,0
Kai,2,0,1,3,7,0,0,0
Kaplan,0,2,1,1,21,1,0,0
LaRocque,0,4,0,3,38,3,1,0
Matthew,0,0,0,0,1,0,0,0
Matty J,2,2,0,30,1,2,1,0
Muffin,1,7,0,10,32,4,0,0
Noah,1,1,0,5,5,0,0,0
Peter,0,0,0,0,1,0,0,0
Reese,0,0,0,0,0,0,0,0
Reid,1,1,0,2,1,1,0,0
Riggins,0,1,1,7,1,0,0,0
Ryan,0,0,0,0,1,0,0,0
Suds,5,1,0,7,10,2,0,0
Thomas,5,0,2,6,6,0,1,0
Wesley,1,0,0,4,3,0,0,0
Zach M,0,1,0,3,1,0,0,0
Aaron L,0,1,1,5,0,0,0,0
Alex F,1,0,0,1,1,1,0,0
Alex L,0,1,0,0,3,0,0,0
Austin B,0,0,0,6,28,1,1,0
Ben P,0,0,0,1,0,0,0,0
Brad S,0,1,0,4,5,0,1,0
Chris B,1,1,0,8,1,0,0,0
Chris Be,0,0,0,0,0,0,0,0
Cory B,1,1,1,5,16,1,0,0
David S,0,1,1,1,9,0,0,0
Eric M,1,1,0,0,10,1,0,0
Gabe W,0,1,0,5,2,0,0,0
Houst P,1,0,0,5,3,1,0,0
Jeff W,3,3,1,31,4,1,0,0
Joe R,1,0,4,1,2,0,0,0
John W,0,0,0,9,1,0,0,0
Jonny M,0,0,0,1,12,0,0,0
Kyle K,0,1,1,5,5,0,0,0
Leo P,0,0,1,2,1,0,0,0
Lloyd B,2,3,1,13,18,1,0,0
Marcus T,1,1,0,17,18,0,0,0
Matt K,1,5,1,14,7,0,0,0
Matt N,0,1,0,0,7,0,0,0
Max C,0,1,0,4,12,0,1,0
Nate C,0,0,1,5,20,2,0,0
Nate P,0,4,0,71,4,2,0,0
Peter M,0,0,0,2,2,0,0,0
Quinn B,1,0,1,1,5,0,0,0
Rhys B,2,1,1,4,4,1,0,0
Rico J,2,3,2,13,13,1,0,0
Rowen M,1,9,2,43,0,1,1,0
Ryan S,1,1,1,0,30,0,1,0
Troy H,1,1,3,10,25,0,0,0
Xavier M,0,0,0,16,24,1,1,0
Zach N,0,2,0,7,3,2,1,0
Andy,0,1,1,14,7,0,1,0
Basten,1,0,0,10,5,2,1,0
Besser,1,0,1,24,18,2,0,0
Billy,0,0,0,2,3,0,1,0
Brendan,1,1,2,8,19,2,0,0
Bubbles,0,0,1,10,2,0,0,0
Burke,0,0,0,18,1,2,1,0
Channing,1,1,0,11,27,1,0,0
Chris,1,0,0,3,2,1,0,0
Colucci,0,0,0,2,7,1,0,0
Compo,0,0,0,13,4,0,1,0
D Yu,1,1,1,16,7,1,0,0
Danny,0,0,0,1,5,0,0,0
David,0,0,0,1,2,1,0,0
Drew,0,0,0,9,3,1,0,0
Evan,0,1,1,5,17,6,0,0
Jay,0,3,0,5,7,2,0,0
Josh,0,1,0,17,3,4,0,0
Justin,3,2,1,12,7,2,1,0
Karl,1,0,0,10,15,1,1,0
Kevin,0,0,1,8,10,1,1,0
Leslie,0,0,0,11,0,1,0,0
Luis,1,0,0,5,11,0,1,0
Mark,1,1,0,6,3,2,0,0
Noah,0,1,2,14,9,2,0,0
Nolan,1,0,1,11,3,0,0,0
Parker,0,2,0,19,8,0,0,0
Pip,0,0,0,6,9,1,1,0
Rio,1,0,2,21,30,1,0,0
Ryan,0,0,0,4,3,0,0,0
Shrew,1,0,1,9,7,0,1,0
Tate,3,1,0,19,34,4,0,0
Tim,0,1,0,9,6,0,0,0
Tom,0,0,2,12,16,1,0,0
Trey,2,5,1,9,16,1,1,0
Troy,0,1,0,5,5,0,0,0
Wes,0,0,0,0,0,0,0,0
X,0,0,0,5,0,0,0,0
Yergin,1,0,0,2,2,2,1,0
Zach,0,0,0,1,2,1,1,0
Aaron S,2,0,1,12,10,0,0,0
Alex H,1,0,1,4,18,1,0,0
Cam B,3,1,1,21,23,3,0,0
Colin R,1,1,1,15,2,1,0,0
Colton S,1,0,1,2,2,1,0,0
Conner H,3,1,1,3,3,0,0,0
Connor L,0,0,0,3,0,0,0,0
Dan C,0,0,0,0,0,1,0,0
Donova T,1,0,1,7,26,1,0,0
Heath K,0,1,1,2,2,0,2,0
Jake F,0,0,0,1,2,2,0,0
Jesse J,0,0,1,1,1,0,0,0
Joey C,0,0,0,2,3,1,0,0
John J,1,0,0,5,2,0,0,0
Jon W,1,1,0,10,2,2,0,0
Josh D,0,0,0,0,0,0,0,0
Keegan N,1,5,1,32,5,4,0,0
Keenan P,0,2,0,4,35,1,0,0
Kip C,1,0,1,6,2,0,1,0
Kyle C,0,2,1,24,20,2,0,0
Levi J,2,3,1,23,11,1,1,0
Michae A,0,0,0,1,10,1,0,0
Nathan B,0,0,0,2,1,0,0,0
Nick H,1,2,2,0,1,0,0,0
Peter C,0,1,1,1,4,0,0,0
Rick G,4,1,0,20,14,0,1,0
Robbie C,1,1,0,6,1,0,0,0
Sam S,2,1,1,13,22,1,1,0
Spence L,1,0,1,8,7,0,0,0
Stephen,0,1,0,2,2,0,0,0
Terry G,0,0,0,1,1,0,0,0
Travis C,4,0,1,24,24,7,0,0
Zach Z,0,0,0,2,2,0,0,0
Bacon,2,1,2,17,24,2,0,0
Barnett,0,0,0,2,5,0,1,0
Bartholo,0,0,0,1,0,0,0,0
Beatty,1,1,1,43,33,4,0,0
Brooks,1,1,0,10,22,0,0,0
Cohen,3,3,2,27,29,1,0,0
Doi,1,1,1,12,12,1,0,0
Drum,1,1,0,9,2,0,0,0
Eder,1,0,0,1,0,0,0,0
Elbogen,1,0,0,3,25,0,0,0
Ferguson,0,0,0,1,3,0,0,0
Friedman,4,1,0,10,21,1,0,0
George,2,1,0,17,17,1,0,0
Kiyoi,1,1,0,10,17,1,0,0
Lai,0,0,0,1,32,1,0,0
Lepore,0,0,1,2,1,0,0,0
Lissner,1,1,2,18,5,3,0,0
Mazur,2,5,0,10,14,3,1,0
Mcdougal,2,2,2,14,7,2,0,0
Mcrae,0,0,0,0,0,0,0,0
Padula,2,1,0,6,4,0,0,0
Plasman,2,1,1,3,2,0,0,0
Pritchar,0,0,0,5,1,1,0,0
Ransom,3,0,1,6,25,2,0,0
Schakner,2,0,0,8,7,1,0,0
Severson,1,1,2,11,5,1,0,0
Silverma,2,0,2,4,5,0,0,0
Theodore,1,1,2,11,5,1,0,0
Theologi,0,1,2,1,5,0,0,0
Weaver,3,0,1,5,6,1,0,0
A Brown,1,1,0,17,30,0,0,0
Akyuz,2,0,1,3,16,0,0,0
Animal,1,1,0,30,17,1,0,0
Bosscher,1,2,0,2,8,0,0,0
Buddy,0,0,1,2,0,1,0,0
Camp,2,4,1,12,21,2,0,0
Coolidge,1,1,1,6,11,0,1,0
DWiseman,2,3,1,20,10,1,0,0
Drews,0,1,0,17,1,0,0,0
Graffy,4,2,1,29,6,2,0,0
Grandon,1,0,0,5,2,0,0,0
Jdub,0,0,0,22,4,1,0,0
Johnson,1,1,0,7,4,1,0,0
K Brown,3,2,0,11,1,1,0,0
KPS,2,0,1,16,4,0,0,0
Kan,0,1,0,1,2,0,0,0
Kelly,0,1,0,1,2,0,0,0
Keren,0,0,0,5,4,0,0,0
Knoche,2,1,3,3,4,0,0,0
Luo,1,2,1,12,2,1,0,0
Marty,1,1,0,10,1,0,0,0
Mason,0,0,0,1,0,0,0,0
Mawby,0,0,1,1,1,0,0,0
Meshnick,0,1,0,11,7,1,0,0
Meyer,1,0,0,2,2,0,0,0
Nelson,2,1,0,23,31,1,0,0
Poole,0,1,0,2,1,0,0,0
Pruess,1,0,1,5,17,1,0,0
RWiseman,0,1,0,8,18,0,0,0
Repper,1,1,2,0,3,1,0,0
Richgels,0,0,0,1,8,0,0,0
Shriwise,2,2,0,6,18,1,0,0
Spyro,0,0,0,1,1,0,0,0
Tucker,0,0,1,0,2,0,0,0
Weber,1,0,1,2,1,0,0,0
Weigand,1,0,1,12,4,1,0,0
Wilen,1,1,0,7,4,0,0,0
Anders C,2,0,1,5,3,0,0,0
Berry C,3,4,0,33,6,1,1,0
Bumste S,2,0,1,26,18,2,0,0
Burkha M,0,0,0,6,7,0,0,0
Cousin G,2,2,2,2,3,2,0,0
DeCler D,4,0,1,5,2,1,1,0
Duhn,0,0,0,2,7,0,0,0
Echols T,1,0,0,20,6,0,0,0
Feldma B,0,2,0,9,3,1,0,0
